,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leaderboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top 25 Rankings,,,,,,,Heisman Winner,,,,,,,Ideal Drafted Team,,,,,Current Week - Maximum Points,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Place,Teams:,Total,Week 1,Week 2,,Week 3,Week 4,Week 5,Week 6,,Week 7,Week 8,Week 9,Week 10,,Week 11,Week 12,Week 13,Week 14,,Week 15 - Conference Championships,Week 16,Bowl Appearance,Heisman Winner,,Bowl Scores,Playoff Appearance,National Championship Game,Season Winners,,,Name,Week,Rank,School,,Last updated: 01/20/2026 10:14:21,,2025,Fernando Mendoza,Indiana,,QB,Junior,,# of Schools,Schools,,Current Points,,# of Schools,Schools,,Current Points,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MAS MAS MAS,340,16,10,,11,12,11,10,,16,14,15,10,,14,20,15,21,,10,0,18,10,,26,49,32,$35.00,,,College Football Playoff Seedings,Week 16,1,Indiana,,,,,,,,,,,1,Indiana,,102,,1,Indiana,,60,
,2,Syndrome of The Down,339,23,10,,3,9,17,10,,16,14,15,19,,12,21,8,16,,30,0,20,10,,16,44,26,$15.00,,,College Football Playoff Seedings,Week 16,2,Ohio State,,,,,,,,,,,2,Miami,,50,,2,Miami,,29,
,3,Falckons Rise Up,274,14,14,,9,9,14,12,,18,15,15,10,,11,14,18,20,,0,0,20,0,,24,31,6,$0.00,,,College Football Playoff Seedings,Week 16,3,Georgia,,,,,,,,,,,3,Oregon,,47,,3,Oregon,,21,
,4,The Period Punchers,264,16,11,,10,9,10,9,,17,19,15,10,,15,17,15,16,,30,0,18,0,,4,23,0,$0.00,,,College Football Playoff Seedings,Week 16,4,Texas Tech,,,,,,,,,,,4,Texas Tech,,45,,4,Ole Miss,,19,
,5,The Dean's Blitz,261,12,10,,12,8,14,10,,9,11,12,11,,15,13,13,16,,40,0,20,0,,9,26,0,$0.00,,,College Football Playoff Seedings,Week 16,5,Oregon,,,,,,,,,,,5,Georgia,,43,,5,Alabama,,12,
,,,,High Points: 23,High Points: 14,,High Points: 12,High Points: 12,High Points: 17,High Points: 12,,High Points: 18,High Points: 19,High Points: 15,High Points: 19,,High Points: 15,High Points: 21,High Points: 18,High Points: 21,,High Points: 40,,,,,,,,,,,College Football Playoff Seedings,Week 16,6,Ole Miss,,,,,,,,,,,6,Ole Miss,,42,,6,Georgia,,9,
